ID,DiscriptionEN,DiscriptionJP,DiscriptionDetailJP,Already,Blacelet,Ring,Necklace,Crown
0000,"Unselected",未選択,未選択,-,0.00,0.00,0.00,0.00
0001,"Anything",任意,任意,-,100,100,100,100
3428,"Boosts maximum HP by 27%.",最大HPが元の27%上がる,最大HPが元の[27/30/32/35/37]%上がる,下,4.49,0.46,1.78,1.28
3433,"Boosts Attack by 27%.",攻撃力が元の27%上がる,攻撃力が元の[27/30/32/35/37]%上がる,上,0.54,3.85,0.85,1.28
3438,"Boosts Healing by 27%.",回復力が元の27%上がる,回復力が元の[27/30/32/35/37]%上がる,上,0.00,0.00,7.10,1.28
3443,"Boosts Dexterity by 27%.",器用さが元の27%上がる,器用さが元の[27/30/32/35/37]%上がる,上,0.54,0.96,0.85,1.28
3448,"Boosts Agility by 27%.",素早さが元の27%上がる,素早さが元の[27/30/32/35/37]%上がる,上,4.49,0.00,0.00,1.28
3453,"Boosts Critical Rate by 35%.",クリティカル率が元の35%上がる,クリティカル率が元の[35/40/45/50/55]%上がる,上,0.22,3.85,0.36,1.28
3458,"Boosts Physical Defense by 15%.",物理防御が元の15%分上がる,物理防御が元の[15/17/20/22/25]%分上がる,上,4.49,0.00,0.00,1.28
3463,"Boosts Ether Defense by 15%.",エーテル防御が元の15%分上がる,エーテル防御が元の[15/17/20/22/25]%分上がる,上,4.49,0.00,0.00,1.28
3468,"Boosts Block Rate by 35%.",ガード率が元の35%分上がる,ガード率が元の[35/40/45/50/55]%分上がる,上,4.49,0.00,0.00,1.28
3473,"Increases Physical Defenseby 9 percentage points.",物理防御に9%加える,物理防御に[9/10/11/12/13]%加える,上,4.49,0.46,0.36,1.28
3478,"Increases Ether Defense by 9percentage points.",エーテル防御に9%加える,エーテル防御に[9/10/11/12/13]%加える,上,4.49,0.46,0.36,1.28
3483,"Boosts damage dealt toTerrestrial Life by 95%.",陸生生物へのダメージが95%上がる,陸生生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3488,"Boosts damage dealt toAquatic Life by 95%.",水生生物へのダメージが95%上がる,水生生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3493,"Boosts damage dealt toAerial Life by 95%.",飛行生物へのダメージが95%上がる,飛行生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3498,"Boosts damage dealt toMachines by 95%.",機械へのダメージが95%上がる,機械へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3503,"Boosts damage dealt whenattacking from the front by 22%.",正面から攻撃した時、与ダメージが22%上がる,正面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,2.25,1.93,0.85,1.28
3508,"Boosts damage dealt whenattacking from the side by 22%.",側面から攻撃した時、与ダメージが22%上がる,側面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,0.54,3.85,1.78,1.28
3513,"Boosts damage dealt whenattacking from behind by 22%.",背面から攻撃した時、与ダメージが22%上がる,背面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,0.54,3.85,1.78,1.28
3518,"Boosts damage dealt whenattacking toppled enemiesby 95%.",ダウン状態の敵を攻撃した時、与ダメージが95%上がる,ダウン状態の敵を攻撃した時、与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3523,"Boosts damage dealt whenattacking launched enemiesby 95%.",ライジング状態の敵を攻撃した時与ダメージが95%上がる,ライジング状態の敵を攻撃した時与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3528,"Boosts Smash damage by 95%.",スマッシュのダメージが95%上がる,スマッシュのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3533,"Boosts damage dealt whenattacking dazed enemies by 95%.",スタン状態の敵を攻撃した時、与ダメージが95%上がる,スタン状態の敵を攻撃した時、与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3538,"Extends duration when quellingenemy rage with Burst by 95%.",バーストで敵の怒りを鎮める時間を95%延長,バーストで敵の怒りを鎮める時間を[95/100/105/110/115]%延⻑,上,0.54,1.93,3.55,1.28
3543,"Boosts damage dealt whenattacking higher-levelenemies by 50%.",自身よりレベルが高い敵を攻撃した時与ダメージが50%上がる,自身よりレベルが⾼い敵を攻撃した時与ダメージが[50/55/60/65/70]%上がる,上,0.22,3.85,0.36,1.28
3548,"Boosts damage dealt while an allyis incapacitated by 80%.",戦闘不能の味方がいる時、与ダメージが80%上がる,戦闘不能の味⽅がいる時、与ダメージが[80/95/110/125/130]%上がる,上,0.22,3.85,0.36,1.28
3553,"Boosts damage dealt by 32%when HP is at 30% or lower.",HPが30%以下の時、与ダメージが32%上がる,HPが[30/30/30/30/30]%以下の時、与ダメージが[32/35/37/40/42]%上がる,上,2.25,0.96,0.85,1.28
3558,"Boosts damage dealt by 32%when HP is at 90% or higher.",HPが90%以上の時、与ダメージが32%上がる,HPが[90/90/90/90/90]%以上の時、与ダメージが[32/35/37/40/42]%上がる,上,0.00,2.89,0.85,1.28
3563,"Boosts damage dealt by 45%for the first 30 seconds of battle.",戦闘開始から30秒の間、与ダメージが45%上がる,戦闘開始から[30/30/30/30/30]秒の間、与ダメージが[45/50/55/60/65]%上がる,上,0.22,0.96,0.36,1.28
3568,"Boosts damage dealt by50% per enemy defeated (to a maximum of 250%).",敵を戦闘不能にする度、与ダメージが50%上がる（最大250%）,敵を戦闘不能にする度、与ダメージが[50/55/60/65/70]%上がる（最⼤ [250/250/250/250/250]%）,同,0.54,2.89,0.85,1.28
3573,"Extends Break duration by 20%.",ブレイクの有効時間を20%延長,ブレイクの有効時間を[20/22/25/27/30]%延⻑,上,1.12,0.96,1.78,1.28
3578,"Extends Topple duration by 20%.",ダウンの有効時間を20%延長,ダウンの有効時間を[20/22/25/27/30]%延⻑,上,1.12,0.96,1.78,1.28
3583,"Extends Launch duration 20%.",ライジングの有効時間を20%延長,ライジングの有効時間を[20/22/25/27/30]%延⻑,上,1.12,0.96,1.78,1.28
3588,"Extends Daze duration by 20%.",スタンの有効時間を20%延長,スタンの有効時間を[20/22/25/27/30]%延⻑,上,1.12,0.96,1.78,1.28
3593,"Boosts auto-attack damageby 85%.",オートアタックの与ダメージが85%上がる,オートアタックの与ダメージが[85/95/105/115/125]%上がる,上,0.00,0.46,0.00,1.28
3598,"Boosts damage dealt whenattacking enemies targeting youby 22%.",自身をターゲット中の敵を攻撃した時与ダメージが22%上がる,自身をターゲット中の敵を攻撃した時与ダメージが[22/25/27/30/32]%上がる,上,2.25,0.00,0.00,1.28
3603,"Boosts damage dealtindoors by 40%.",室内にいる時、与ダメージが40%上がる,室内にいる時、与ダメージが[40/42/45/47/50]%上がる,上,1.12,0.96,1.78,1.28
3608,"Boosts damage dealtoutdoors by 40%.",室外にいる時、与ダメージが40%上がる,室外にいる時、与ダメージが[40/42/45/47/50]%上がる,上,1.12,0.96,1.78,1.28
3613,"Lowers attack targets' Breakresistance by 23 percentagepoints.",攻撃対象のブレイク抵抗が23%引かれる,攻撃対象のブレイク抵抗が[23/24/25/26/27]%引かれる,下,0.04,0.04,0.07,0.20
3618,"Boosts evasion by 20% whenHP is at 30% or lower.",HPが30%以下の時、回避率が元の20%分上がる,HPが[30/30/30/30/30]%以下の時、回避率が元の[20/22/25/27/30]%分上がる,上,3.37,0.19,0.36,1.28
3623,"Boosts evasion by 15%while moving.",移動中、回避率が元の15%分上がる,移動中、回避率が元の[15/17/20/22/25]%分上がる,上,3.37,0.19,0.85,1.28
3628,"Boosts evasion by 15%while stationary or auto-attacking.",停止、あるいはオートアタック中は回避率が元の15%分上がる,停止、あるいはオートアタック中は回避率が元の[15/17/20/22/25]%分上がる,上,3.37,0.19,0.85,1.28
3633,"Boosts evasion by 15%while Art is active.",アーツ中、回避率が元の15%分上がる,アーツ中、回避率が元の[15/17/20/22/25]%分上がる,上,3.37,0.19,0.85,1.28
3638,"Boosts Block Rate by 35%when HP is at 30% or lower.",HPが30%以下の時、ガード率が元の35%分上がる,HPが[30/30/30/30/30]%以下の時、ガード率が元の[35/37/40/42/45]%分上がる,上,3.37,0.00,0.00,1.28
3643,"Reduces aggro generated fromauto-attacks by 35%.",オートアタックのヘイト獲得量が35%下がる,オートアタックのヘイト獲得量が[35/40/45/50/55]%下がる,上,0.00,0.46,1.78,1.28
3648,"Boosts aggro generated fromauto-attacks by 25%.",オートアタックのヘイト獲得量が25%上がる,オートアタックのヘイト獲得量が[25/30/35/40/45]%上がる,上,2.25,0.00,0.00,1.28
3653,"Boosts aggro reduction over timeby 85%.",時間で減少するヘイト量が85%上がる,時間で減少するヘイト量が[85/100/115/130/145]%上がる,上,0.00,1.93,3.55,1.28
3658,"Accrues Aggro every second.",毎秒、ヘイトを少しずつ獲得する,毎秒、ヘイトを少しずつ獲得する,同,3.37,0.00,0.00,1.28
3663,"Boosts amount of HP healed fromusing healing Arts by 17%.",回復アーツのHP回復量が17%上がる,回復アーツのHP回復量が[17/18/20/22/25]%上がる,上,0.00,0.00,7.10,1.28
3668,"Reduces aggro generated fromhealing Arts by 25%.",回復アーツのヘイト獲得量が25%下がる,回復アーツのヘイト獲得量が[25/30/35/40/45]%下がる,上,0.00,0.00,7.10,1.28
3673,"100% chance to survive a KO with1 HP and five seconds of invincibility (once per battle, does not stack).",確率100%で戦闘不能時にHPが1残り5秒間無敵（1戦闘1回・効果は重複しない）,確率[100/100/100/100/100]%で戦闘不能時にHPが1残り5秒間無敵（1戦闘1回・効果は重複しない）,同,0.04,0.00,0.00,0.20
3678,"Boosts accuracy during the nightby 45%.",夜間、命中率が元の45%分上がる,夜間、命中率が元の[45/50/55/60/65]%分上がる,上,0.54,0.46,0.85,1.28
3683,"Boosts accuracy during the dayby 45%.",日中、命中率が元の45%分上がる,日中、命中率が元の[45/50/55/60/65]%分上がる,上,0.54,0.46,0.85,1.28
3688,"Fills Chain Attack gauge slightlyon critical hit.",クリティカル時、チェインゲージが増加,クリティカル時、チェインゲージが増加,上,0.54,0.96,0.85,1.28
3693,"Fills Chain Attack gauge slightlyon Art execution.",アーツ実行時、チェインゲージが増加,アーツ実行時、チェインゲージが増加,上,1.12,0.96,1.78,1.28
3698,"Boosts damage by 15% for everyenemy in battle (max. 200%).",バトルに参加している敵1体につきダメージが15%上がる（最大200%）,バトルに参加している敵1体につきダメージが[15/17/20/22/25]%上がる（最⼤ [200/200/200/200/200]%）,同,0.54,2.89,0.85,1.28
3703,"When your attacks are blocked, you are not thrown off-balance.",敵に攻撃をガードされても弾かれ状態にならない,敵に攻撃をガードされても弾かれ状態にならない,同,0.04,0.04,0.07,0.20
3708,"When incapacitated, aggro does not reset, but remains at 45%.",戦闘不能時、ヘイトがリセットされず45%残る,戦闘不能時、ヘイトがリセットされず[45/50/55/60/65]%残る,上,2.25,0.00,0.00,1.28
3713,"Deal 45% more damage buttake 20% more damage.",与ダメージが45%上がる。被ダメージが20%上がる,与ダメージが[45/50/55/60/65]%上がる。被ダメージが[20/20/20/20/20]%上がる,同,0.00,2.89,0.36,1.28
3718,"Deal 50% less damage buttake 22% less damage.",被ダメージが22%下がる。与ダメージが50%下がる,被ダメージが[22/25/27/30/32]%下がる。与ダメージが[50/50/50/50/50]%下がる,同,3.37,0.00,3.55,1.28
3723,"Boosts accuracy by 3.5% eachtime an enemy evades an attack (up to a maximum of 50%).",敵に攻撃を回避される度命中率が元の3.5%分上がる（最大50%）,敵に攻撃を回避される度命中率が元の[3.5/4/4.5/5/5.5]%分上がる（最⼤ [50/50/50/50/50]%）,同,0.54,1.93,0.85,1.28
3728,"Boosts damage dealt by 50%when attacking an enemysuffering from Bleed.",出血デバフ状態の敵を攻撃した時与ダメージが50%上がる,出血デバフ状態の敵を攻撃した時与ダメージが[50/75/80/85/90]%上がる,上,0.54,1.93,0.85,1.28
3733,"Boosts damage dealt by 50%when attacking an enemysuffering from Blaze.",炎熱デバフ状態の敵を攻撃した時与ダメージが50%上がる,炎熱デバフ状態の敵を攻撃した時与ダメージが[50/75/80/85/90]%上がる,上,0.54,1.93,0.85,1.28
3738,"Arts which are canceled intocannot be blocked or evaded.",キャンセルして実行したアーツが回避、ガードされない,キャンセルして実⾏したアーツが回避、ガードされない,同,0.04,0.04,0.07,0.20
3743,"Reduces damage taken by 17%while performing Art.",アーツ実行中、被ダメージが17%下がる,アーツ実行中、被ダメージが[17/20/22/25/27]%下がる,上,3.37,0.00,0.00,1.28
3748,"Boosts damage from Bleedby 150%.",出血デバフの与ダメージが150%上がる,出血デバフの与ダメージが[150/275/300/325/350]%上がる,上,0.54,1.93,0.85,1.28
3753,"Boosts damage from Blazeby 150%.",炎熱デバフの与ダメージが150%上がる,炎熱デバフの与ダメージが[150/275/300/325/350]%上がる,上,0.54,1.93,0.85,1.28
3758,"Extends stance durationby 45%.",スタンスの有効時間を45%延長,スタンスの有効時間を[45/50/55/60/65]%延⻑,上,1.12,0.96,1.78,1.28
3763,"Restores 4.5% of HP whena buff is applied.",バフを受けた時、HPが4.5%回復,バフを受けた時、HPが[4.5/5/5.5/6/6.5]%回復,上,2.25,1.93,3.55,1.28
3768,"90% chance to avoid wakingenemy from Sleep whenauto-attack hits.",オートアタックヒット時、確率90%でスリープが解除されない,オートアタックヒット時、確率[90/91/92/93/94]%でスリープが解除されない,上,0.54,0.46,0.85,1.28
3773,"90% chance to avoid wakingenemy from Sleep when Art hits.",アーツヒット時、確率90%でスリープが解除されない,アーツヒット時、確率[90/91/92/93/94]%でスリープが解除されない,上,0.54,0.46,0.85,1.28
3778,"Boosts damage dealt byFusion Arts by 70%.",融合アーツの与ダメージが70%上がる,融合アーツの与ダメージが[70/75/80/85/90]%上がる,下,1.12,0.96,1.78,1.28
3783,"Boosts aggro reduction by 45%when targeted by an enemy.",敵にターゲットされている時、ヘイトの減少量が45%増加,敵にターゲットされている時、ヘイトの減少量が[45/50/55/60/65]%増加,上,0.00,0.96,5.33,1.28
3788,"When an attack is evaded, increases attacker's aggro towards.",攻撃回避時、攻撃を行った敵のヘイトを獲得する,攻撃回避時、攻撃を⾏った敵のヘイトを獲得する,同,2.25,0.00,0.00,1.28
3793,"Boosts recharge speed by 35%when non-Defenders are targeted.",ディフェンダー以外がターゲットになっている時、リキャスト速度が35%上がる,ディフェンダー以外がターゲットになっている時、リキャスト速度が[35/40/45/50/55]%上がる,上,1.12,0.96,3.55,1.28
3798,"Allows reviving allies even whennot in a Healer role.",ヒーラー以外のロールでも助け起こしが可能になる,ヒーラー以外のロールでも助け起こしが可能になる,同,0.00,0.00,0.00,0.09
3803,"When landing a hit, deals damage as though enemy's physical defense was 22% lower.",攻撃ヒット時、敵の物理防御を22%下げてダメージを与える効果は攻撃時のみ,攻撃ヒット時、敵の物理防御を[22/25/27/30/32]%下げてダメージを与える効果は攻撃時のみ,上,0.54,1.93,0.85,1.28
3808,"When landing a hit, deals damage as though enemy's ether defense was 22% lower.",攻撃ヒット時、敵のエーテル防御を22%下げてダメージを与える効果は攻撃時のみ,攻撃ヒット時、敵のエーテル防御を[22/25/27/30/32]%下げてダメージを与える効果は攻撃時のみ,下,0.54,1.93,0.85,1.28
3813,"Boosts healing Arts recharge speedby 22% when an ally is at low HP.",瀕死の味方がいる時、回復アーツのリキャスト速度が22%上がる,瀕死の味方がいる時、回復アーツのリキャスト速度が[22/25/27/30/32]%上がる,上,0.00,0.00,0.85,0.43
3818,"Reduce aggro toward self by5.5% when auto-attack hits.",オートアタックヒット時、自身へのヘイトを5.5%減少させる,オートアタックヒット時、⾃⾝へのヘイトを[5.5/6/6.5/7/7.5]%減少させる,上,0.00,0.19,0.36,0.43
3823,"Boosts ally revival speed foreach incapacitated ally.",戦闘不能の味方の数に応じて助け起こしの速度が上がる,戦闘不能の味方の数に応じて助け起こしの速度が上がる,上,0.00,0.00,0.85,0.43
3828,"On blocking, boosts recharge of one Art at random by 8%.",ガード時、ランダムなアーツのリキャストが8%回復する,ガード時、ランダムなアーツのリキャストが[8/8.5/9/9.5/10]%回復する,下,0.04,0.00,0.00,0.20
3833,"Extends area of effect of attack Artswhich have one by 30%.",範囲攻撃アーツの範囲を30%拡張,範囲攻撃アーツの範囲を[30/35/40/45/50]%拡張,同,0.04,0.04,0.07,0.20
3838,"Boosts recharge speed by 15%when in the water.",水中にいる時、リキャスト速度が15%上がる,水中にいる時、リキャスト速度が[15/17/20/22/25]%上がる,同,0.04,0.04,0.07,0.20
3843,"6% chance to keep rechargewhen using Art.",アーツ使用時、確率6%でリキャストが消費されない,アーツ使用時、確率[6/7/8/9/10]%でリキャストが消費されない,同,0.04,0.04,0.07,0.20
3848,"Speeds up Interlink Level buildupby 45%.",インタリンクレベルの上昇が45%早くなる,インタリンクレベルの上昇が[45/50/55/60/65]%早くなる,上,1.12,0.96,1.78,1.28
3853,"Recovers 80% of recharge forown Arts upon reviving an ally.",味方を助け起こした時、自身のアーツのリキャストが80%回復する,味方を助け起こした時、自身のアーツのリキャストが[80/85/90/95/100]%回復する,同,0.00,0.00,3.55,1.28
3858,"At start of Chain Attack, increases TP by 6.",チェインアタック開始時のTPに6加える,チェインアタック開始時のTPに[6/7/8/9/10]加える,下,0.04,0.04,0.07,0.20
3863,"Boosts aggro generated fromdealing damage by 20%.",与ダメージで獲得するヘイトが20%上がる,与ダメージで獲得するヘイトが[20/25/30/35/40]%上がる,新,0.04,0.00,0.00,0.20
3868,"Increases success rate of debuffeffects by 11 percentage points.",デバフの成功率に11%加える,デバフの成功率に[11/12/13/14/15]%加える,新,0.00,0.00,0.00,0.20
3873,"6% chance to reflectenemy attack.",確率6%で敵の攻撃を反射する,確率[6/7/8/9/10]%で敵の攻撃を反射する,新,0.04,0.00,0.00,0.20
3878,"Heal 40% of all allies' HPwhen defeating an enemy.",敵を戦闘不能にした時、味方全体のHPを40%回復,敵を戦闘不能にした時、味⽅全体のHPを[40/45/50/55/60]%回復,新,0.04,0.04,0.07,0.20
3883,"10% chance to ignore defense.",確率10%で防御力を無視する,確率[10/12/15/17/20]%で防御⼒を無視する,新,0.00,0.04,0.00,0.20
3888,"Boosts damage dealt for eachactive buff.",現在有効なバフの数に応じて与ダメージが上がる,現在有効なバフの数に応じて与ダメージが上がる,新,0.00,0.00,0.00,0.20
3893,"When defeating an enemy, recharge all allies' Arts by 55%",敵を戦闘不能にした時、味方全体のアーツリキャストを55%回復,敵を戦闘不能にした時、味⽅全体のアーツリキャストを[55/60/65/70/75]%回復,新,0.04,0.04,0.07,0.20
3898,"Reduces aggro on self by 60%when an ally is incapacitated.",味方が戦闘不能になった時、自身のヘイトが60%減少する,味方が戦闘不能になった時、⾃⾝のヘイトが[60/70/80/90/100]%減少する,新,0.00,0.04,0.07,0.20
3903,"Boosts damage dealt based on theamount of battle time elapsed.",戦闘時間の経過に合わせて与ダメージが上がっていく,戦闘時間の経過に合わせて与ダメージが上がっていく,新,0.00,0.04,0.00,0.20
3908,"Own auto-attack rate increasesfor each ally with the same roleas self.",自身と同じロールの味方が多い程オートアタックの発生が早くなる,⾃⾝と同じロールの味⽅が多い程オートアタックの発⽣が早くなる,新,0.00,0.00,0.00,0.20
3913,"Boosts damage dealt by 30%when in the water.",水中にいる時、与ダメージが30%上がる,水中にいる時、与ダメージが[30/35/40/45/50]%上がる,新,0.00,0.00,0.00,0.20
